ID;ТУ;ДАТА;ПРОЕКТ;ЗАДАЧА;СОДЕРЖАНИЕ;РЕЗУЛЬТАТ;МЕСТО;ОЧТЕТ;ИНФО
926;АЭР;17.01.18;Т Плюс Самарский;МНР;доделки;неокончено;офис АЭР;;
927;АЭР;18.01.18;Т Плюс Самарский;Расчеты;Документы;ок;офис АЭР;;
928;АЭР;18.01.18; -;Ревизия дел; -;ок;офис АЭР;;
929;АЭР;19.01.18; -;Расчеты;закрытие 2017г;ок;офис АЭР;;
930;ЭА;19.01.18;ЗГАЭС-2;ПИР;РД 1 оч;ок;офис АЭР;;
931;АЭР;19.01.18; -; -;почта;неокончено;командировка;;
932;ЭА;20.01.18;ЗГАЭС-2;ПИР;П 2-3 оч;неокончено;офис АЭР;;
933;ЭА;21.01.18;ЗГАЭС-2;ПИР;П 2-3 оч;неокончено;офис АЭР;;
934;АЭР;22.01.18;Т Плюс Самарский;Персонал;Договоры;ок;офис АЭР;;
935;АЭР;22.01.18; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
936;АЭР;22.01.18;НМОУ;Постановка задачи;техприсоединение;неокончено;офис АЭР;;
937;АЭР;22.01.18;СК Энергосбыт;МНР;Каскад;ок;офис АЭР;;
938;АЭР;22.01.18;Т Плюс Самарский;Бюджет;исполнение;ок;офис АЭР;;
939;АЭР;23.01.18;НМОУ;ПИР; -;неокончено;офис АЭР;;
940;ЭА;23.01.18;ЗГАЭС-2;ПИР; -;неокончено;офис АЭР;;
941;АЭР;23.01.18;КНПЗ;Постановка задачи; -;неокончено;офис АЭР;;
942;АЭР;23.01.18;СШГЭС;Конкурс;анализ;ок;офис АЭР;;
943;АЭР;23.01.18; -;Документы;почта;ок;офис АЭР;;
944;АЭР;24.01.18;СК Энергосбыт;МНР; -;ок;офис АЭР;;
945;ЭА;24.01.18;ЗГАЭС-2;ПИР;;неокончено;офис АЭР;;
946;АЭР;24.01.18;Т Плюс Самарский;МНР;контроль;ок;офис АЭР;;
947;АЭР;24.01.18; -;Маркетинг;Анализ конкурсов;ок;офис АЭР;;
948;АЭР;25.01.18;СК Энергосбыт;МНР; -;ок;офис АЭР;;
949;АЭР;24.01.18;СК Энергосбыт;ПИР;печать ТРП;ок;офис АЭР;;
950;АЭР;25.01.18;СШГЭС;Конкурс;анализ;ок;офис АЭР;;
951;ЭУ;25.01.18; -;Документы;почта;ок;командировка;;
952;ЭА;25.01.18;ЗГАЭС-2;ПИР;П 2-3 оч;неокончено;офис АЭР;;
953;ЭА;25.01.18;ЗГАЭС-2;Сдача работ;спецификации;неокончено;офис АЭР;;
954;ЭА;26.01.18;ЗГАЭС-2;Сдача работ;ВОР;ок;офис АЭР;;
955;ЭА;26.01.18;ЗГАЭС-2;Сдача работ;ВОР;ок;командировка;;
956;КВБ;26.01.18; -;Маркетинг;Лифанов;неокончено;командировка;;
957;АЭР;26.01.18;Глобус ТО;Техсопровождение; -;ок;офис АЭР;;
958;АЭР;26.01.18; -;Оборудование;ТО;ок;офис АЭР;;
959;ЭУ;28.01.18; -;Документы;почта;ок;командировка;;
960;ЭА;28.01.18;ЗГАЭС-2;ПИР;П 2-3 оч;ок;офис АЭР;;
961;АЭР;29.01.18;Глобус ТО;Техсопровождение; -;неокончено;офис АЭР;;
962;АЭР;29.01.18;ЗГАЭС метрология;ТКП; -;неокончено;офис АЭР;;
963;ЭА;29.01.18;ЭАК ОЭК;Арбитраж;подготовка;неокончено;офис АЭР;;
